Pregunta,valor,direccion
¿Crees que el gobierno debe ser quien tenga el control total de la economía?,5,derecha
"¿Crees que la intervención estatal en la economía y la redistribución de la riqueza, son importantes o necesarias que las realice el gobierno?",-3,izquierda
¿Crees que el libre mercado es el mejor sistema económico? ¿mejor a que el gobierno sea quien controle la economía?,5,derecha
¿Crees que el gobierno debe desempeñar un papel activo en la protección de los derechos laborales y la reducción de las desigualdades económicas?,-5,izquierda
¿Crees que el gobierno debería reducir los impuestos y la regulación empresarial?,3,derecha
¿Consideras que es importante implementar políticas de bienestar social y programas de ayuda para los grupos más desfavorecidos?,-3,izquierda
¿Consideras que la responsabilidad individual y el esfuerzo propio son fundamentales para el éxito económico?,3,derecha
"¿Crees que debe haber igualdad de derechos u oportunidades para cualquier individuo, sin importar su género, raza u orientación sexual?",-5,izquierda
"¿Consideras que el gobierno, debería ser un gobierno limitado y con alcance reducido? Es decir, que el gobierno no se involucre en la vida y en la economía de las personas.",5,derecha
"¿Crees que la cooperación internacional y la promoción de los derechos humanos a nivel global, es importante y esencial?",-3,izquierda
¿Crees que es importante preservar y proteger los valores tradicionales y culturales para la preservación de la identidad como nación?,3,derecha
